operation,size,time_ms
insert,1000,0.156334
insert,10000,3.56575
insert,100000,29.3733
insert,1000000,445.831
search,1000,0.110583
search,10000,0.170542
search,100000,0.233292
search,1000000,0.428125
traversal_klp,1000,0.056625
traversal_kpl,1000,0.030208
traversal_lpk,1000,0.030542
traversal_lkp,1000,0.031459
traversal_klp,10000,0.307459
traversal_kpl,10000,0.299958
traversal_lpk,10000,0.317708
traversal_lkp,10000,0.316625
traversal_klp,100000,3.03904
traversal_kpl,100000,3.00142
traversal_lpk,100000,3.09163
traversal_lkp,100000,3.09546
map,1000,0.050375
map,10000,0.499042
map,100000,5.12988
where,1000,0.056417
where,10000,0.555625
where,100000,5.45404
balance,1000,0.067625
balance,10000,0.755959
balance,100000,6.72554
